sale_date,product_category,region,sales_amount
2024-04-12,Headphones,East,3078
2024-12-14,Smartwatch,West,4836
2024-09-27,Tablet,North,2939
2024-04-16,Tablet,North,3484
2024-03-12,Laptop,North,2759
2024-07-07,Smartphone,North,1961
2024-01-21,Smartphone,West,2956
2024-04-12,Smartwatch,North,785
2024-05-01,Smartphone,East,4383
2024-08-02,Headphones,West,1719
2024-11-26,Smartphone,South,4743
2024-03-28,Smartwatch,South,1531
2024-04-09,Smartphone,East,975
2024-12-25,Headphones,East,4813
2024-05-31,Laptop,West,2561
2024-05-10,Smartwatch,South,1465
2024-05-29,Laptop,South,1343
2024-11-04,Laptop,South,262
2024-09-14,Laptop,South,2074
2024-12-09,Tablet,South,3391
2024-10-20,Tablet,North,369
2024-07-10,Laptop,East,731
2024-10-03,Smartwatch,North,1005
2024-06-09,Headphones,South,3571
2024-11-09,Headphones,West,3353
2024-01-22,Smartphone,West,2114
2024-09-09,Smartwatch,South,1741
2024-08-23,Tablet,South,304
2024-12-10,Laptop,West,681
2024-02-18,Smartphone,North,940
2024-02-28,Headphones,North,1819
2024-06-18,Tablet,South,2743
2024-07-06,Tablet,North,2397
2024-09-27,Laptop,West,974
2024-07-08,Headphones,North,789
2024-06-23,Smartwatch,South,4100
2024-02-20,Tablet,West,3241
2024-12-29,Laptop,North,1522
2024-02-24,Smartwatch,East,771
2024-08-31,Headphones,West,1271
2024-11-15,Tablet,West,3826
2024-05-10,Smartwatch,East,1043
2024-11-02,Smartwatch,East,1549
2024-05-14,Smartwatch,West,3837
2024-01-21,Tablet,East,2639
2024-11-24,Tablet,South,4059
2024-06-15,Smartphone,South,4360
2024-09-30,Headphones,South,2461
2024-03-29,Laptop,West,3752
2024-11-11,Smartwatch,East,3770
2024-01-14,Smartphone,East,1853
2024-08-29,Laptop,North,2452
2024-09-21,Smartphone,North,2038
2024-12-11,Tablet,East,470
2024-02-22,Smartwatch,East,4579
2024-12-05,Laptop,East,2031
2024-04-01,Laptop,West,524
2024-09-20,Laptop,East,4824
2024-02-04,Laptop,North,994
2024-07-24,Laptop,West,697
2024-03-21,Smartphone,East,3162
2024-02-19,Smartwatch,North,2436
2024-12-25,Tablet,West,4788
2024-01-02,Tablet,East,1787
2024-02-23,Tablet,East,672
2024-04-15,Tablet,East,2190
2024-09-16,Smartphone,West,3769
2024-11-05,Headphones,North,4372
2024-07-09,Smartwatch,North,4724
2024-08-05,Laptop,South,1733
2024-02-13,Headphones,East,1617
2024-06-10,Tablet,South,4393
2024-07-20,Headphones,South,2757
2024-09-26,Smartwatch,North,3748
2024-12-16,Laptop,West,3688
2024-10-30,Laptop,West,1637
2024-09-27,Smartwatch,North,3237
2024-08-02,Smartwatch,West,197
2024-09-08,Tablet,South,3315
2024-07-08,Laptop,East,4630
2024-10-22,Headphones,North,4832
2024-07-31,Smartphone,East,3850
2024-07-26,Smartphone,West,3257
2024-08-24,Smartwatch,East,4783
2024-12-03,Tablet,West,443
2024-02-22,Smartphone,West,4766
2024-10-06,Laptop,South,710
2024-08-04,Smartwatch,West,1827
2024-09-08,Headphones,South,2390
2024-07-06,Smartwatch,South,1954
2024-02-10,Headphones,South,2708
2024-06-05,Smartwatch,North,2179
2024-01-15,Smartwatch,North,2424
2024-10-27,Smartwatch,West,4727
2024-03-05,Headphones,South,1277
2024-12-10,Headphones,North,1191
2024-11-22,Smartwatch,South,2891
2024-01-09,Smartphone,East,1849
2024-12-09,Tablet,East,2775
2024-05-08,Tablet,East,881
2024-05-15,Tablet,West,3148
2024-03-03,Headphones,South,2205
2024-05-18,Headphones,East,3967
2024-03-21,Smartphone,North,4642
2024-06-11,Tablet,East,2213
2024-10-15,Tablet,East,4070
2024-09-17,Smartwatch,East,2091
